rank;nombre;patrimonio;sector;empresa;comunidad
84;Josep Llu°s N£§ez Navarro y familia;630;Inmuebles, Turismo;N£§ez y Navarro;Catalu§a
85;V°ctor Urrutia Vallejo;620;Alimentaci¢n, Vino;Cvne;Pa°s Vasco
86;Juan Luis Arregui Ci†rsolo;620;Industria, Vino;Ence;Pa°s Vasco
87;Hermanos G¢mez G¢mez;610;Distribuci¢n;Mercadona;Andaluc°a
88;Joan y Josep Font Fabreg¢;610;Distribuci¢n;Bonpreu;Catalu§a
89;Mar°a del Mar y Miguel µngel Garc°a-Baquero Vela;590;Alimentaci¢n, Inmuebles, L†ctea;L†cteas Garc°a Baquero;Castilla-La Mancha
90;Luis Fern†ndez Somoza;580;Transporte, Inmuebles;Cartes¢n;Galicia
91;Familia Mart°nez Zabala;580;Vino, Alimentaci¢n;Bodegas Faustino;La Rioja
92;Mercedes Calvo Caminero;560;Alimentaci¢n, Bebidas;Mahou San Miguel, Chocolates Trapa;Madrid
93;Familia Hinojosa;530;Inmuebles;ex Cortefiel;Madrid
94;Familia SuquÇ Mateu;530;Juego, Vino, Industria;Grup Peralada, Inverama;Catalu§a
95;Familia Garc°a Peralta;520;Textil;Tempe;C. Valenciana
96;Hermanos Dom°nguez Fern†ndez;510;Textil;Textil Lonia, Bimba&Lola;Galicia
97;Familia Reyz†bal;510;Inmuebles;Reyza 2006, Forter;Madrid
98;Familia µlvarez Mezqu°riz;500;Servicios, Vino;Eulen, Vega Sicilia;Castilla y Le¢n
99;Juan y Pedro Alcaraz Alcaraz;500;Inmuebles;ex Goldcar, Aligrupo;C. Valenciana
100;HÇctor y Manuel Colonques Moreno;500;Construcci¢n, Cer†mica;Porcelanosa;C. Valenciana
101;Mauricio Botton Carasso;500;Alimentaci¢n;Germina, ex Danone;Catalu§a
102;Francisco Mart°nez Cosentino-Justo y hermanos;500;Construcci¢n;Cosentino;Andaluc°a
103;Ana Boh¢rquez Escribano y familia;470;Alimentaci¢n;ex Coca-Cola;Andaluc°a
104;Javier y JosÇ Mar°a Ventura;470;Alimentaci¢n;Adam Foods;Catalu§a
105;Salvador Tous y familia;460;Moda;Tous;Catalu§a
106;Familia Us¢ Ferrera;460;Alimentaci¢n, Bebidas;Coca-Cola European Partners;C. Valenciana
107;Joseba Grajales JimÇnez;450;Industria, Salud;Keralty Health, ex Guascor;Pa°s Vasco
108;Jorge Arasa Masclans;450;Industria, Metalurgia;Bamesa Aceros;Catalu§a
109;Francisco Javier Moll de Miguel;450;Medios de Comunicaci¢n, Inmuebles, Salud;Prensa IbÇrica, Corporaci¢n Corachan;Arag¢n
110;Familia Cosmen;450;Transporte;National Express, Alsa;Asturias
111;Familia Fradera Lloret;440;Multiinversor;ex Uniland, Lumbier de Inversiones;Catalu§a
112;Hermanos Bernat Serra;430;Multiinversor;ex Chupa Chups, Casa Batll¢;Catalu§a
113;Alberto Zardoya Arana y familia;430;Industria;Zardoya Ascensores, Mecalux;Pa°s Vasco
114;Dimas Gimeno µlvarez;430;Distribuci¢n, Alimentaci¢n;El Corte InglÇs;Madrid
115;Emilio Cuatrecasas Figueras;430;Inmuebles, Restauraci¢n;Emesa, Elior;Catalu§a
116;Roberto Tojeiro Rodr°guez y familia;430;Distribuci¢n;Gadisa, Reganosa;Galicia
