Codigo;Marca;Modelo;ClasAmbiental;Combustible;FechaInicio;Fecha
1419197;CITROEN;CITROEN JUMPY;B;DIESEL;22/02/2016;25/11/2018
1386843;CITROEN;CITROEN JUMPY;B;DIESEL;27/07/2015;25/11/2018
1514200;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;15/06/2018;25/11/2018
1346221;CITROEN;C4 PICASSO;C;DIESEL;12/09/2014;25/11/2018
1418184;CITROEN;CITROEN C-ELYSEE;C;DIESEL;10/02/2016;25/11/2018
1197676;CITROEN;C8*****;B;DIESEL;18/10/2010;25/11/2018
1442997;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;01/12/2016;25/11/2018
1439523;CITROEN;CITROEN C-ELYSEE;C;DIESEL;21/10/2016;25/11/2018
1515735;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;09/07/2018;25/11/2018
1437255;CITROEN;CITROEN C-ELYSEE;C;DIESEL;26/09/2016;25/11/2018
1444794;CITROEN;CITROEN C-ELYSEE;C;DIESEL;23/12/2016;25/11/2018
1513349;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;01/06/2018;25/11/2018
1379612;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;30/04/2015;25/11/2018
1430087;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;10/06/2016;25/11/2018
1420007;CITROEN;CITROEN C-ELYSEE;C;DIESEL;01/03/2016;25/11/2018
1423924;CITROEN;CITROEN C-ELYSEE;C;DIESEL;14/04/2016;25/11/2018
1395583;CITROEN;CITROEN JUMPY;B;DIESEL;18/11/2015;25/11/2018
1395113;CITROEN;CITROEN JUMPY;B;DIESEL;12/11/2015;25/11/2018
1375346;CITROEN;C4 PICASSO;C;DIESEL;10/03/2015;25/11/2018
1468220;CITROEN;CITROEN C-ELYSEE;C;DIESEL;21/03/2017;25/11/2018
1513690;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;08/06/2018;25/11/2018
1442412;CITROEN;C4 PICASSO;C;DIESEL;24/11/2016;25/11/2018
1400351;CITROEN;CITROEN JUMPY;B;DIESEL;19/01/2016;25/11/2018
1434978;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;18/08/2016;25/11/2018
1508013;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;14/03/2018;25/11/2018
1438240;CITROEN;CITROEN C-ELYSEE;C;DIESEL;07/10/2016;25/11/2018
1425811;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;03/05/2016;25/11/2018
1506714;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;21/02/2018;25/11/2018
1470977;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;27/04/2017;25/11/2018
1380089;CITROEN;C4 PICASSO;C;DIESEL;06/05/2015;25/11/2018
1417671;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;04/02/2016;25/11/2018
1434174;CITROEN;CITROEN C-ELYSEE;C;DIESEL;02/08/2016;25/11/2018
1376857;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;26/03/2015;25/11/2018
1379867;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;05/05/2015;25/11/2018
1382054;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;27/05/2015;25/11/2018
1485408;CITROEN;CITROEN C-ELYSEE;C;DIESEL;27/11/2017;25/11/2018
1375791;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;13/03/2015;25/11/2018
1424855;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;22/04/2016;25/11/2018
1419786;CITROEN;C4 PICASSO;C;DIESEL;26/02/2016;25/11/2018
1382048;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;27/05/2015;25/11/2018
1422234;CITROEN;CITROEN JUMPY;B;DIESEL;29/03/2016;25/11/2018
1514449;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;20/06/2018;25/11/2018
1378329;CITROEN;C4 PICASSO;C;DIESEL;16/04/2015;25/11/2018
1399425;CITROEN;CITROEN JUMPY;B;DIESEL;07/01/2016;25/11/2018
1391858;CITROEN;CITROEN JUMPY;B;DIESEL;07/10/2015;25/11/2018
1525181;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;10/10/2018;25/11/2018
1510434;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;20/04/2018;25/11/2018
