Matricula;NumEmt;Marca;Modelo;Version;Combustible;ClasEcol;Plataforma;Plazas;Falta;Fbaja
4302JTX;4338;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;30/12/2016;31/12/9999
9190JTY;8848;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;30/12/2016;31/12/9999
2800JTX;4331;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;23/12/2016;31/12/9999
6978JVC;8850;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;23/12/2016;31/12/9999
8922JTY;8843;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;23/12/2016;31/12/9999
6982JVC;8859;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;22/12/2016;31/12/9999
2884JTX;4333;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;20/12/2016;31/12/9999
6980JVC;8857;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;20/12/2016;31/12/9999
2403JTX;4328;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;19/12/2016;31/12/9999
2548JTX;4329;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;19/12/2016;31/12/9999
2853JTX;4332;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;19/12/2016;31/12/9999
4153JTX;4334;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;19/12/2016;31/12/9999
4190JTX;4335;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;19/12/2016;31/12/9999
7080JVC;8842;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;19/12/2016;31/12/9999
8987JTY;8844;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;19/12/2016;31/12/9999
9033JTY;8845;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;19/12/2016;31/12/9999
9097JTY;8849;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;19/12/2016;31/12/9999
9150JTY;8847;MAN;Lion's City GNC;0;GNC;Euro VI;Plat. doble;78;19/12/2016;31/12/9999
1267JTL;4327;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;12/12/2016;31/12/9999
2691JTX;4330;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;12/12/2016;31/12/9999
9455JTT;4323;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;12/12/2016;31/12/9999
1249JTL;4324;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;28/11/2016;31/12/9999
1258JTL;4325;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;28/11/2016;31/12/9999
3941JTL;4326;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;28/11/2016;31/12/9999
1236JTL;4321;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;22/11/2016;31/12/9999
1237JTL;4320;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;22/11/2016;31/12/9999
1242JTL;4319;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;22/11/2016;31/12/9999
1247JTL;4322;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;22/11/2016;31/12/9999
5712JTG;4318;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;22/11/2016;31/12/9999
5727JTG;4317;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;14/11/2016;31/12/9999
5733JTG;4316;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;14/11/2016;31/12/9999
5746JTG;4315;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;11/11/2016;31/12/9999
5756JTG;4314;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;11/11/2016;31/12/9999
5762JTG;4313;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;08/11/2016;31/12/9999
5770JTG;4312;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;08/11/2016;31/12/9999
8131JSW;4311;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;08/11/2016;31/12/9999
8135JSW;4310;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;08/11/2016;31/12/9999
6887JSG;4306;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;07/11/2016;31/12/9999
8132JSW;4307;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;07/11/2016;31/12/9999
8134JSW;4308;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;07/11/2016;31/12/9999
8136JSW;4309;SCANIA;N280 UB GNC ;0;GNC;Euro VI;Plat. doble;78;07/11/2016;31/12/9999
1636HPP;8959;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;29/05/2013;31/12/9999
9960HPD;8955;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;29/05/2013;31/12/9999
1822HPP;8965;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;25/05/2013;31/12/9999
1840HPP;8963;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;25/05/2013;31/12/9999
1880HPP;8962;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;25/05/2013;31/12/9999
1885HPP;8964;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;25/05/2013;31/12/9999
9925HPD;8956;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;25/05/2013;31/12/9999
0000HPF;8957;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/05/2013;31/12/9999
1791HPP;8961;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/05/2013;31/12/9999
1853HPP;8958;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/05/2013;31/12/9999
1866HPP;8954;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/05/2013;31/12/9999
9947HPD;8960;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/05/2013;31/12/9999
2101HNY;8951;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;01/05/2013;31/12/9999
9584HNW;8948;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;01/05/2013;31/12/9999
9595HNW;8949;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;01/05/2013;31/12/9999
9897HPD;8952;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;01/05/2013;31/12/9999
9908HPD;8953;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;01/05/2013;31/12/9999
9972HPD;8950;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;01/05/2013;31/12/9999
9568HNW;8943;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/04/2013;31/12/9999
9572HNW;8944;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/04/2013;31/12/9999
9576HNW;8942;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/04/2013;31/12/9999
9580HNW;8947;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/04/2013;31/12/9999
9598HNW;8945;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/04/2013;31/12/9999
9877HPD;8946;IVECO;Citelis GNC;8;GNC;VEM;Plat. ampliada;87;17/04/2013;31/12/9999
6098HPG;530;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;06/04/2013;31/12/9999
6138HPG;531;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;06/04/2013;31/12/9999
6142HPG;527;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;06/04/2013;31/12/9999
6161HPG;528;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;06/04/2013;31/12/9999
6171HPG;532;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;06/04/2013;31/12/9999
8116HPG;529;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;06/04/2013;31/12/9999
9884HNV;525;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;26/03/2013;31/12/9999
9899HNV;524;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;26/03/2013;31/12/9999
9244HMX;9360;TATA HISPANO;TML H¡brido GNC;0;H¡brido;VEM;Plat. ampliada;68;16/03/2013;31/12/9999
9897HNV;526;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;14/03/2013;31/12/9999
9891HNV;522;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;02/03/2013;31/12/9999
9895HNV;523;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;02/03/2013;31/12/9999
9901HNV;521;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;02/03/2013;31/12/9999
1716HNM;515;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;27/02/2013;31/12/9999
1776HNM;519;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;27/02/2013;31/12/9999
1759HNM;520;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;21/02/2013;31/12/9999
1764HNM;518;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;21/02/2013;31/12/9999
1729HNM;516;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;15/02/2013;31/12/9999
1752HNM;517;MAN;NG/313-F GNC Articulado ;0;GNC;VEM;Plat. ampliada;115;15/02/2013;31/12/9999
9219HMX;9354;TATA HISPANO;TML H¡brido GNC;0;H¡brido;VEM;Plat. ampliada;68;30/01/2013;31/12/9999
9233HMX;9358;TATA HISPANO;TML H¡brido GNC;0;H¡brido;VEM;Plat. ampliada;68;25/01/2013;31/12/9999
9238HMX;9359;TATA HISPANO;TML H¡brido GNC;0;H¡brido;VEM;Plat. ampliada;68;25/01/2013;31/12/9999
9956HMW;9357;TATA HISPANO;TML H¡brido GNC;0;H¡brido;VEM;Plat. ampliada;68;25/01/2013;31/12/9999
1876HMX;8840;MAN;NL/313-F GNC ;5;GNC;VEM;Plat. ampliada;83;12/01/2013;31/12/9999
1913HMX;8839;MAN;NL/313-F GNC ;5;GNC;VEM;Plat. ampliada;83;12/01/2013;31/12/9999
1867HMX;8836;MAN;NL/313-F GNC ;5;GNC;VEM;Plat. ampliada;83;29/12/2012;31/12/9999
1895HMX;8837;MAN;NL/313-F GNC ;5;GNC;VEM;Plat. ampliada;83;29/12/2012;31/12/9999
